Order_ID,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Region,Profit,Sales_Channel_Retail,Gender_Category_Men,Gender_Category_Women,Profit_Margin
2000,Training,SuperRep Go,M,0.25,0.5134769118315209,0.47,0.16904607862030174,2024-09-03,bengaluru,0.0824983216409254,False,False,False,0.48802268774436797
2001,Soccer,Tiempo Legend,M,0.75,0.36939317286619217,0.0,0.16904607862030174,2024-09-07,hyd,0.20905717577853739,True,False,True,1.2366875202595233
2002,Soccer,Premier III,M,1.0,0.5134769118315209,0.0,0.16904607862030174,,mumbai,0.8726813156796248,True,False,True,5.162387218929664
2003,Lifestyle,Blazer Mid,L,0.25,0.959616200581006,0.0,0.16904607862030174,2024-04-10,pune,0.8802815411279727,False,False,False,5.20734670873492
2004,Running,React Infinity,XL,0.25,0.5134769118315209,0.0,0.16904607862030174,2024-12-09,delhi,0.2668465893242898,True,False,False,1.578543504245727
2005,Training,Flex Trainer,M,0.25,0.6705387885986641,0.0,0.16904607862030174,,delhi,0.5030845258178755,True,False,True,2.976020088273477
2006,Training,SuperRep Go,M,0.25,0.6024276589912624,0.0,0.16904607862030174,2025-04-06,bangalore,0.5773574452777996,False,True,False,3.4153850239532346
2007,Training,SuperRep Go,M,0.25,0.5134769118315209,0.32,0.16904607862030174,,bangalore,0.7940090756425375,True,False,False,4.696997896212544
2008,Soccer,Premier III,11,0.25,0.5134769118315209,0.0,0.16904607862030174,2024-11-10,hyderabad,0.09005238019209276,False,False,True,0.532709075105856
2009,Soccer,Mercurial Superfly,M,1.0,0.5134769118315209,0.0,0.16904607862030174,,pune,0.9866115998176409,False,True,False,5.836347153805867
2010,Lifestyle,Waffle One,L,0.25,0.7438679581805825,0.0,0.16904607862030174,,pune,0.6088028731199012,False,False,False,3.6014019259645016
2011,Training,Flex Trainer,L,0.25,0.9486657012437435,0.0,0.16904607862030174,,hyd,0.5513866419930249,True,False,True,3.2617535200654197
2018,Lifestyle,Blazer Mid,,0.25,0.5134769118315209,0.86,0.16904607862030174,,delhi,0.6364876224625039,False,False,False,3.765172358077192
2013,Training,SuperRep Go,,0.25,0.9593007901531868,0.0,0.16904607862030174,,hyderbad,0.28828534220250723,False,False,False,1.705365451570347
2014,Running,React Infinity,11,0.25,0.5134769118315209,0.0,0.16904607862030174,2025-12-04,bangalore,0.029800732130044427,False,False,True,0.1762876274520424
2015,Basketball,Air Jordan,,0.25,0.16006954048956204,0.0,0.16904607862030174,,kolkata,0.46023202713074657,True,False,False,2.7225241241146105
2016,Basketball,Air Jordan,M,0.25,0.9844209777973589,0.3,0.323530200796138,,hyderbad,0.702508209051405,True,False,True,2.1713837141716104
2017,Basketball,Air Jordan,9,1.0,0.5134769118315209,0.0,0.16904607862030174,,delhi,0.605086437896867,True,False,True,3.5794171792412026
2019,Running,Air Zoom,6,0.0,0.17740960424752708,0.32,0.16904607862030174,,hyderabad,0.5991232136777127,False,False,False,3.544141446921209
2020,Soccer,Tiempo Legend,L,0.25,0.5134769118315209,0.67,0.16904607862030174,,mumbai,0.31533529670887733,True,False,False,1.8653807250812315
2021,Running,Free RN,L,0.25,0.6358361317664611,0.66,0.1151800073953286,,hyd,0.015163902103094515,True,True,False,0.13165394278060727
2022,Soccer,Premier III,M,0.25,0.5134769118315209,0.0,0.16904607862030174,,pune,0.8899592769494453,False,False,True,5.264595808509721
2023,Lifestyle,Waffle One,M,0.25,0.375153168059938,0.0,0.16904607862030174,2025-10-01,mumbai,0.5189332368958147,False,True,False,3.0697738813652253
2024,Training,SuperRep Go,XL,0.0,0.5134769118315209,0.5,0.16904607862030174,,bangalore,0.5851019422798368,True,False,False,3.4611979588952644
2025,Basketball,Kyrie Flytrap,M,0.75,0.97800638080302,0.0,0.16904607862030174,,mumbai,0.5962204700174858,True,False,True,3.5269701307693166
2026,Lifestyle,Blazer Mid,XL,0.25,0.5134769118315209,0.16,0.16904607862030174,2024-10-08,kolkata,0.6734519181383969,True,False,False,3.9838363813871873
2027,Basketball,Zoom Freak,XL,0.25,0.5134769118315209,0.22,0.16904607862030174,,pune,0.20401536588227825,False,True,False,1.2068624575463938
2028,Training,Flex Trainer,12,0.25,0.15815580023505588,0.0,0.16904607862030174,,delhi,0.04856372859250595,True,True,False,0.28728101230662706
2029,Training,ZoomX Invincible,12,0.0,0.5134769118315209,0.0,0.16904607862030174,,bangalore,0.19498781386276506,False,True,False,1.1534595505213205
